Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Wigan Athletic,eng Premier League,20,1990,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Ignazio Abate\Ignazio-Abate,it ITA,DFMF,Milan,it Serie A,24,1986,29,29,2597,28.9,0,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches
3,Christian Abbiati\Christian-Abbiati,it ITA,GK,Milan,it Serie A,34,1977,31,31,2689,29.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Mohammed Abdellaoue\Mohammed-Abdellaoue,no NOR,FW,Hannover 96,de Bundesliga,25,1985,28,27,1990,22.1,11,0,8,3,3,2,0,0.50,0.00,0.50,0.36,0.36,Matches
5,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Toulouse,fr Ligue 1,21,1989,32,32,2880,32.0,2,0,2,0,0,7,0,0.06,0.00,0.06,0.06,0.06,Matches
6,Yacine Abdessadki\Yacine-Abdessadki,ma MAR,MF,Freiburg,de Bundesliga,30,1981,11,8,625,6.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Almen Abdi\Almen-Abdi,ch SUI,MF,Udinese,it Serie A,24,1986,23,9,920,10.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Pape Abdou Camara\Pape-Abdou-Camara,sn SEN,MF,Valenciennes,fr Ligue 1,19,1991,11,8,699,7.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Mathias Abel\Mathias-Abel,de GER,DF,Kaiserslautern,de Bundesliga,30,1981,22,20,1838,20.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Damià Abella\Damia-Abella,es ESP,DFMF,Osasuna,es La Liga,29,1982,30,24,2255,25.1,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Éric Abidal\Eric-Abidal,fr FRA,DF,Barcelona,es La Liga,31,1979,22,20,1762,19.6,0,1,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05,Matches
12,Vincent Aboubakar\Vincent-Aboubakar,cm CMR,FW,Valenciennes,fr Ligue 1,19,1992,27,25,2227,24.7,6,3,6,0,0,6,0,0.24,0.12,0.36,0.24,0.36,Matches
13,Fabrice Abriel\Fabrice-Abriel,fr FRA,MF,Nice,fr Ligue 1,32,1979,27,23,1856,20.6,0,2,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches
14,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Chievo,it Serie A,23,1988,17,14,1341,14.9,1,0,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches
15,Hakeem Achour\Hakeem-Achour,dz ALG,MF,Dijon,fr Ligue 1,22,1989,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Lautaro Acosta\Lautaro-Acosta,ar ARG,FWMF,Racing Sant,es La Liga,23,1988,21,14,1259,14.0,2,0,2,0,0,4,0,0.14,0.00,0.14,0.14,0.14,Matches
17,Maxwell Acosty\Maxwell-Acosty,gh GHA,FWMF,Fiorentina,it Serie A,19,1991,5,0,125,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Robert Acquafresca\Robert-Acquafresca,it ITA,FW,Bologna,it Serie A,23,1987,32,17,1594,17.7,5,1,5,0,0,2,0,0.28,0.06,0.34,0.28,0.34,Matches
19,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Palermo,it Serie A,19,1992,20,10,985,10.9,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Charlie Adam\Charlie-Adam,sct SCO,MF,Liverpool,eng Premier League,25,1985,28,27,2168,24.1,2,6,1,1,2,5,1,0.08,0.25,0.33,0.04,0.29,Matches
21,Antonio Adán\Antonio-Adan,es ESP,GK,Real Madrid,es La Liga,24,1987,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Emmanuel Adebayor\Emmanuel-Adebayor,tg TOG,FW,Tottenham,eng Premier League,27,1984,33,32,2827,31.4,17,11,14,3,4,3,0,0.54,0.35,0.89,0.45,0.80,Matches
23,Youssef Adnane\Youssef-Adnane,fr FRA,FW,Evian,fr Ligue 1,26,1985,9,3,278,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
24,Adriano\Adriano,br BRA,DFMF,Barcelona,es La Liga,26,1984,26,20,1722,19.1,1,4,1,0,0,3,0,0.05,0.21,0.26,0.05,0.26,Matches
25,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Valencia,es La Liga,30,1981,29,11,1302,14.5,7,1,7,0,0,5,1,0.48,0.07,0.55,0.48,0.55,Matches
26,Ibrahim Afellay\Ibrahim-Afellay,nl NED,FWMF,Barcelona,es La Liga,25,1986,4,1,116,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
27,François Affolter\Francois-Affolter,ch SUI,DF,Werder Bremen,de Bundesliga,20,1991,13,13,1081,12.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
28,Michael Agazzi\Michael-Agazzi,it ITA,GK,Cagliari,it Serie A,27,1984,36,36,3197,35.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
29,Gabby Agbonlahor\Gabby-Agbonlahor,eng ENG,FWMF,Aston Villa,eng Premier League,24,1986,33,32,2762,30.7,5,5,5,0,0,6,0,0.16,0.16,0.33,0.16,0.33,Matches
30,Daniel Agger\Daniel-Agger,dk DEN,DF,Liverpool,eng Premier League,26,1984,27,24,2140,23.8,1,1,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,Matches
31,Imanol Agirretxe\Imanol-Agirretxe,es ESP,FW,Real Sociedad,es La Liga,24,1987,36,27,2183,24.3,10,3,10,0,0,1,0,0.41,0.12,0.54,0.41,0.54,Matches
32,Federico Agliardi\Federico-Agliardi,it ITA,GK,Bologna,it Serie A,28,1983,10,9,831,9.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
33,Alessandro Agostini\Alessandro-Agostini,it ITA,DF,Cagliari,it Serie A,32,1979,35,35,3072,34.1,0,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,Matches
34,Yannick Aguemon\Yannick-Aguemon,bj BEN,FWMF,Toulouse,fr Ligue 1,19,1992,2,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
35,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,23,1988,34,31,2575,28.6,23,8,20,3,3,2,0,0.80,0.28,1.08,0.70,0.98,Matches
36,Matías Aguirregaray\Matias-Aguirregaray,uy URU,DFMF,Palermo,it Serie A,22,1989,12,5,616,6.8,0,1,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,Matches
37,Kemy Agustien\Kemy-Agustien,cw CUW,DFMF,Swansea City,eng Premier League,24,1986,13,7,713,7.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
38,Patrick Agyemang\Patrick-Agyemang,gh GHA,FW,QPR,eng Premier League,30,1980,2,2,144,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
39,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,20,1990,10,6,612,6.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
40,Ali Ahamada\Ali-Ahamada,km COM,GK,Toulouse,fr Ligue 1,19,1991,38,38,3420,38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Karim Aït-Fana\Karim-Ait-Fana,ma MAR,FWMF,Montpellier,fr Ligue 1,22,1989,11,6,530,5.9,2,1,2,0,0,1,0,0.34,0.17,0.51,0.34,0.51,Matches
42,Yakubu Aiyegbeni\Yakubu-Aiyegbeni,ng NGA,FW,Blackburn,eng Premier League,28,1982,30,29,2442,27.1,17,2,13,4,5,1,1,0.63,0.07,0.70,0.48,0.55,Matches
43,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,DFMF,Toulouse,fr Ligue 1,18,1992,13,5,604,6.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
44,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,19,1992,30,14,1546,17.2,2,2,2,0,0,1,0,0.12,0.12,0.23,0.12,0.23,Matches
45,Jordi Alba\Jordi-Alba,es ESP,DFMF,Valencia,es La Liga,22,1989,32,27,2543,28.3,2,5,2,0,0,13,1,0.07,0.18,0.25,0.07,0.25,Matches
46,David Albelda\David-Albelda,es ESP,DFMF,Valencia,es La Liga,33,1977,21,19,1586,17.6,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,Matches
47,Luis Alberto\Luis-Alberto,es ESP,FWMF,Sevilla,es La Liga,18,1992,5,0,85,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
48,Raúl Albiol\Raul-Albiol,es ESP,DF,Real Madrid,es La Liga,25,1985,10,5,621,6.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
